sample	PC1	PC2	mat
HMAb_1	0.573409582325407	0.0351897197201184	HMAb
HMAb_2	0.573409582325407	0.0351897197201184	HMAb
HMNa_1	-0.256061240037089	-0.511453806008636	HMNa
HMNa_2	-0.256061240037089	-0.511453806008637	HMNa
HMR_1	-0.317348342288318	0.476264086288518	HMR
HMR_2	-0.317348342288318	0.476264086288518	HMR
