sample	richness	shannon	simpson	mat
HMAb_1	22	2.96281780138582	0.940876258517585	HMAb
HMAb_2	22	2.93211716267873	0.935665713086723	HMAb
HMNa_1	62	3.47242451564781	0.931667221714571	HMNa
HMNa_2	62	3.42924642024604	0.921390925790588	HMNa
HMR_1	8	1.94430359651909	0.842102707949088	HMR
HMR_2	8	2.05723365131343	0.869579742500217	HMR
